               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.020771,           0.0071671,            0.011579,             0.96206,             0.97003,             0.97904,             0.80206,           0.0095232,           0.0023755,           0.0031921,            0.005347,            0.005347,            0.005347
                  49,            0.020747,           0.0071865,            0.011586,             0.96278,             0.96828,             0.97896,             0.80316,           0.0095953,           0.0023795,           0.0032894,            0.005248,            0.005248,            0.005248
                  50,            0.020353,           0.0070955,            0.011016,             0.96934,               0.963,              0.9795,             0.80294,           0.0095908,           0.0023882,           0.0031987,            0.005149,            0.005149,            0.005149
                  51,            0.020465,            0.007095,             0.01122,             0.96185,             0.96768,             0.97934,             0.80302,           0.0095361,           0.0023952,           0.0031388,             0.00505,             0.00505,             0.00505
                  52,            0.020396,           0.0071099,            0.010981,             0.97136,             0.95895,             0.97968,             0.80466,           0.0095288,           0.0023833,           0.0031831,            0.004951,            0.004951,            0.004951
                  53,            0.020256,           0.0070649,            0.010773,             0.96804,             0.96035,             0.97953,             0.80534,           0.0094729,           0.0023819,           0.0032644,            0.004852,            0.004852,            0.004852
                  54,            0.020376,           0.0070554,            0.011026,             0.96981,             0.95752,             0.97936,             0.80495,           0.0094499,           0.0023752,           0.0033357,            0.004753,            0.004753,            0.004753
                  55,            0.019978,           0.0070341,            0.010517,             0.96874,             0.95931,             0.97915,             0.80507,           0.0094408,           0.0023666,           0.0033064,            0.004654,            0.004654,            0.004654
                  56,            0.019922,           0.0070793,            0.010544,             0.96564,             0.96742,             0.97964,             0.80525,           0.0094307,           0.0023651,           0.0032482,            0.004555,            0.004555,            0.004555
                  57,            0.019851,           0.0070796,            0.010455,             0.96875,             0.96648,             0.97998,             0.80691,           0.0093927,           0.0023564,           0.0032118,            0.004456,            0.004456,            0.004456
                  58,            0.019815,           0.0070669,            0.010106,             0.96684,             0.96493,             0.98061,             0.80566,           0.0093578,           0.0023529,           0.0032001,            0.004357,            0.004357,            0.004357
                  59,            0.019798,           0.0069942,            0.010133,              0.9651,             0.96722,             0.98047,             0.80566,           0.0093496,           0.0023517,           0.0032436,            0.004258,            0.004258,            0.004258
                  60,            0.019684,           0.0069381,            0.010087,              0.9662,             0.96489,              0.9793,              0.8056,           0.0093334,           0.0023512,           0.0032776,            0.004159,            0.004159,            0.004159
                  61,            0.019632,           0.0069872,           0.0099591,             0.96574,             0.96472,             0.97908,             0.80624,           0.0093185,           0.0023519,           0.0033118,             0.00406,             0.00406,             0.00406
                  62,            0.019564,           0.0070316,            0.009985,             0.96378,             0.96781,             0.97914,             0.80652,           0.0092923,           0.0023482,           0.0033419,            0.003961,            0.003961,            0.003961
                  63,            0.019479,           0.0070103,           0.0094308,              0.9641,             0.96801,             0.97884,             0.80648,           0.0092746,           0.0023459,           0.0033655,            0.003862,            0.003862,            0.003862
                  64,            0.019382,           0.0068923,           0.0096235,             0.96448,                0.97,             0.97906,             0.80758,           0.0092563,           0.0023377,           0.0033737,            0.003763,            0.003763,            0.003763
                  65,            0.019243,           0.0068547,           0.0091816,              0.9672,             0.96845,             0.97901,             0.80799,           0.0092277,           0.0023303,            0.003333,            0.003664,            0.003664,            0.003664
                  66,            0.019282,           0.0069025,           0.0093768,             0.96756,             0.96847,             0.97891,             0.80821,           0.0091964,           0.0023236,           0.0033541,            0.003565,            0.003565,            0.003565
                  67,            0.019046,           0.0069009,           0.0092443,             0.96721,             0.96825,             0.97892,             0.80841,           0.0091894,           0.0023202,            0.003355,            0.003466,            0.003466,            0.003466
                  68,            0.019027,            0.006801,           0.0089306,              0.9693,              0.9659,             0.97903,             0.80832,            0.009174,           0.0023146,           0.0033401,            0.003367,            0.003367,            0.003367
                  69,            0.018879,           0.0067674,           0.0090328,             0.96908,             0.96691,             0.97908,             0.80885,           0.0091492,             0.00231,           0.0033415,            0.003268,            0.003268,            0.003268
                  70,            0.018689,           0.0068488,           0.0089027,             0.96662,             0.96942,             0.97887,             0.80868,           0.0091275,           0.0023076,           0.0033572,            0.003169,            0.003169,            0.003169
                  71,            0.018636,           0.0067739,           0.0087031,             0.96889,             0.96684,             0.97889,             0.80928,           0.0091266,           0.0023057,           0.0033652,             0.00307,             0.00307,             0.00307
                  72,            0.018782,           0.0068182,           0.0085503,             0.96785,             0.96738,             0.97888,             0.80989,           0.0091097,           0.0023045,           0.0033853,            0.002971,            0.002971,            0.002971
                  73,            0.018397,           0.0067835,           0.0085541,             0.96869,             0.96765,             0.97866,             0.81018,           0.0090976,           0.0023048,           0.0034387,            0.002872,            0.002872,            0.002872
                  74,            0.018345,           0.0066774,           0.0083961,             0.96735,             0.96959,             0.97855,             0.81041,           0.0090904,           0.0023036,           0.0034556,            0.002773,            0.002773,            0.002773
                  75,            0.018304,           0.0066892,           0.0079621,             0.96695,             0.96835,             0.97818,             0.81015,           0.0090923,           0.0023039,           0.0034801,            0.002674,            0.002674,            0.002674
                  76,            0.017981,           0.0066307,           0.0076323,             0.96722,             0.96904,             0.97799,             0.81012,           0.0091054,           0.0023045,           0.0034907,            0.002575,            0.002575,            0.002575
                  77,             0.01802,           0.0066543,           0.0081752,             0.96729,             0.96887,             0.97792,             0.81067,           0.0091292,           0.0023027,           0.0034825,            0.002476,            0.002476,            0.002476
                  78,            0.018078,           0.0066822,           0.0076638,             0.96698,             0.96878,             0.97808,             0.81124,           0.0091167,           0.0022998,           0.0034554,            0.002377,            0.002377,            0.002377
                  79,            0.017803,           0.0065601,           0.0075513,             0.96747,             0.96864,             0.97792,             0.81048,           0.0090977,           0.0022972,           0.0034432,            0.002278,            0.002278,            0.002278
                  80,            0.017719,           0.0065975,           0.0073687,             0.96756,             0.96896,              0.9778,             0.81044,           0.0090791,           0.0022944,           0.0034556,            0.002179,            0.002179,            0.002179
                  81,            0.017642,           0.0066127,           0.0072886,              0.9678,             0.96897,             0.97798,             0.81118,             0.00906,           0.0022921,           0.0034582,             0.00208,             0.00208,             0.00208
                  82,            0.017444,           0.0066492,           0.0073457,             0.96778,             0.96875,             0.97802,             0.81108,           0.0090472,           0.0022901,           0.0034559,            0.001981,            0.001981,            0.001981
                  83,            0.017584,           0.0065856,           0.0069832,             0.96766,             0.96925,             0.97809,              0.8112,           0.0090382,           0.0022871,           0.0034655,            0.001882,            0.001882,            0.001882
                  84,            0.017149,           0.0065644,           0.0072382,             0.96742,              0.9692,             0.97793,             0.81115,           0.0090295,           0.0022841,           0.0034613,            0.001783,            0.001783,            0.001783
                  85,             0.01718,           0.0065155,           0.0068708,              0.9672,             0.96907,             0.97772,             0.81129,           0.0090232,           0.0022818,           0.0034792,            0.001684,            0.001684,            0.001684
                  86,            0.016993,           0.0065325,           0.0066136,             0.96667,             0.96957,             0.97759,             0.81086,           0.0090168,            0.002279,           0.0035019,            0.001585,            0.001585,            0.001585
                  87,            0.017087,           0.0065175,           0.0066712,             0.96671,             0.97034,             0.97746,             0.81047,           0.0090111,           0.0022767,           0.0035024,            0.001486,            0.001486,            0.001486
                  88,            0.016802,           0.0064791,           0.0065637,             0.96643,             0.97095,             0.97759,              0.8106,           0.0090043,           0.0022741,             0.00351,            0.001387,            0.001387,            0.001387
                  89,             0.01671,           0.0064668,           0.0064282,             0.96626,             0.97122,             0.97754,             0.81075,           0.0089972,           0.0022726,           0.0035099,            0.001288,            0.001288,            0.001288
                  90,            0.016455,           0.0064163,           0.0064544,             0.96563,              0.9708,              0.9775,             0.81101,           0.0089897,           0.0022704,            0.003514,            0.001189,            0.001189,            0.001189
                  91,            0.016456,           0.0064195,            0.006312,             0.96572,             0.97055,             0.97758,             0.81174,           0.0089865,           0.0022687,           0.0035113,             0.00109,             0.00109,             0.00109
                  92,            0.016149,           0.0063945,           0.0061023,              0.9655,             0.97046,             0.97763,             0.81203,           0.0089855,           0.0022673,           0.0035144,            0.000991,            0.000991,            0.000991
                  93,            0.016138,           0.0063259,            0.006018,             0.96514,             0.97058,             0.97762,             0.81166,           0.0089819,           0.0022658,           0.0035137,            0.000892,            0.000892,            0.000892
                  94,            0.016094,           0.0064482,           0.0059112,             0.96526,             0.97095,             0.97754,             0.81154,           0.0089773,           0.0022646,           0.0035205,            0.000793,            0.000793,            0.000793
                  95,            0.015794,            0.006353,           0.0058008,             0.96583,             0.97043,             0.97759,             0.81141,           0.0089745,           0.0022635,           0.0035302,            0.000694,            0.000694,            0.000694
                  96,             0.01574,           0.0063525,            0.005659,             0.96637,             0.97049,             0.97756,              0.8116,            0.008971,           0.0022621,           0.0035397,            0.000595,            0.000595,            0.000595
                  97,            0.015515,           0.0062924,           0.0054747,             0.96552,             0.97066,             0.97751,             0.81198,           0.0089699,            0.002261,           0.0035469,            0.000496,            0.000496,            0.000496
                  98,            0.015226,           0.0062773,           0.0052777,             0.96666,             0.97034,             0.97746,             0.81181,           0.0089689,           0.0022598,            0.003557,            0.000397,            0.000397,            0.000397
                  99,            0.015122,           0.0062075,           0.0054501,             0.96584,             0.97037,             0.97743,             0.81248,           0.0089657,           0.0022586,           0.0035661,            0.000298,            0.000298,            0.000298
